Unnamed: 0,accuracies,ucc_energy_1,ucc_length,ucc_energy_2,ucc_energy_3,ucc_energy_4,ucc_energy_5,ucc_energy_6,ucc_energy_7,ucc_energy_8,ucc_energy_9,ucc_energy_10,ucc_energy_11,ucc_energy_12,ucc_energy_13,ucc_energy_14,ucc_energy_15,ucc_energy_16,ucc_energy_17,ucc_energy_18,ucc_energy_19,ucc_energy_20,ucc_energy_21,ucc_energy_22,ucc_energy_23,ucc_energy_24,ucc_energy_25,ucc_energy_26,ucc_energy_27,ucc_energy_28,ucc_energy_29,ucc_energy_30,ucc_energy_31,ucc_energy_32,ucc_energy_33,ucc_energy_34,ucc_energy_35,ucc_energy_36,ucc_energy_37,ucc_energy_38,ucc_energy_39,ucc_energy_40,ucc_energy_41,ucc_energy_42,ucc_energy_43,ucc_energy_44,ucc_energy_45,ucc_energy_46,ucc_energy_47,ucc_energy_48,ucc_energy_49
20,209.5373094,-1.127027274,0.745709481,-1.126987577,-1.128052051,-1.127652299,-1.12849231,-1.127123295,-1.128333779,-1.127176699,-1.128046698,-1.127113136,-1.12774687,-1.128047284,-1.1271137,-1.127954926,-1.128228085,-1.127343076,-1.128370598,-1.128637976,-1.127060428,-1.126882986,-1.128275446,-1.12695261,-1.128579706,-1.12793232,-1.127,-1.127,-1.1284,-1.1267,-1.128,-1.1281,-1.1281,-1.1272,-1.1273,-1.128,-1.1271,-1.128,-1.127,-1.1273,-1.130886459,-1.133166711,-1.132216644,-1.132283719,-1.132702695,-1.131105797,-0.922479972,-1.132804826,-1.132710296,-1.129545512,-1.128588495022015
21,240.3150031,-1.128330573,0.741640786,-1.128846425,-1.128608788,-1.128692986,-1.129415484,-1.128696201,-1.12821569,-1.129187354,-1.128224304,-1.128299265,-1.128796901,-1.128918758,-1.128741309,-1.129361163,-1.129067251,-1.128473991,-1.128749363,-1.128689586,-1.128225003,-1.128439382,-1.129242034,-1.128700827,-1.129084117,-1.128206431,-1.1287,-1.1291,-1.128,-1.1296,-1.1284,-1.1286,-1.1285,-1.1292,-1.1286,-1.1289,-1.1283,-1.1282,-1.1292,-1.1283,-1.13253992,-1.133502198,-1.131770146,-1.125546466,-1.13231656,-1.132673085,-1.13234579,-1.132129563,-1.134237071,-1.130075328,-1.1296915668272167
22,275.6134499,-1.129466884,0.741640786,-1.129667848,-1.129400307,-1.129404,-1.129862257,-1.129839847,-1.129428566,-1.129402636,-1.13034287,-1.129802968,-1.130561309,-1.130352844,-1.129696312,-1.130522153,-1.129356619,-1.129404869,-1.129558745,-1.130001727,-1.129401053,-1.130107292,-1.129857719,-1.12938873,-1.130257368,-1.130145351,-1.1294,-1.1303,-1.1298,-1.1307,-1.1299,-1.1302,-1.1291,-1.1306,-1.1294,-1.1295,-1.1305,-1.1302,-1.1296,-1.1305,-1.135080267,-1.134040864,-1.133594728,-1.130091732,-1.114343218,-1.133204282,-1.132177195,-1.133297289,-1.132038414,-1.129979386,-1.1306599159113457
23,316.0966763,-1.130461519,0.741640786,-1.131529709,-1.130418727,-1.131460685,-1.131034582,-1.130388029,-1.131429267,-1.131104549,-1.130897775,-1.131393476,-1.130632511,-1.131247171,-1.130502747,-1.130425826,-1.130426787,-1.130936313,-1.130584388,-1.130591824,-1.130366381,-1.130397622,-1.131406765,-1.131440319,-1.130955541,-1.130506637,-1.1315,-1.131,-1.1312,-1.1305,-1.1308,-1.1304,-1.1315,-1.1304,-1.13,-1.1314,-1.1312,-1.1305,-1.1311,-1.1308,-1.134321848,-0.93076202,-1.133994057,-1.129988052,-1.132973762,-1.133980335,-1.133663761,-1.134066809,-1.132734031,-1.133492713,-1.1315030842110576
24,362.526244,-1.131329676,0.741640786,-1.131850199,-1.131340567,-1.132261623,-1.131810088,-1.131304527,-1.131408607,-1.131854417,-1.131840069,-1.131552061,-1.13128111,-1.131839728,-1.131666273,-1.131302241,-1.131454021,-1.132163786,-1.132016772,-1.131934064,-1.130983339,-1.131301651,-1.131237717,-1.131877767,-1.131513721,-1.131617582,-1.1314,-1.1318,-1.1316,-1.132,-1.1322,-1.1314,-1.1319,-1.1314,-1.1313,-1.1319,-1.1316,-1.1309,-1.1313,-1.1315,-1.133672563,-1.133175313,-1.133391562,-1.130332103,-1.134540206,-1.134833357,-1.133662184,-1.134681613,-1.133509247,-1.13563025,-1.1322428317953444
25,415.7755757,-1.132088038,0.741640786,-1.132441012,-1.132502752,-1.132444192,-1.13206933,-1.132616425,-1.132035242,-1.1321351,-1.132678026,-1.13231241,-1.131814756,-1.132704748,-1.13205574,-1.132267413,-1.132617249,-1.132059776,-1.132891049,-1.132619084,-1.13261148,-1.132614095,-1.132265369,-1.132297142,-1.132402875,-1.132674916,-1.1321,-1.1321,-1.1327,-1.1317,-1.1324,-1.1326,-1.1323,-1.1321,-1.1328,-1.1325,-1.1326,-1.1323,-1.1323,-1.1327,-1.133949402,-1.134963156,-1.134713468,-1.133473443,-1.125745969,-1.132450335,-1.134554884,-1.133966388,-1.134830132,-1.134746494,-1.1328877948150757
26,476.8463863,-1.132750539,0.741443492,-1.132691386,-1.133203059,-1.132750976,-1.132943205,-1.132761699,-1.132696524,-1.132733917,-1.133349112,-1.133048618,-1.133451305,-1.133160453,-1.133411089,-1.132739142,-1.133477937,-1.132790421,-1.133115827,-1.133053636,-1.133448018,-1.133281996,-1.133470101,-1.133134811,-1.133371315,-1.133001143,-1.1328,-1.1332,-1.1328,-1.133,-1.133,-1.1332,-1.133,-1.1334,-1.1332,-1.1331,-1.1331,-1.1328,-1.1328,-1.1331,-1.133968642,-1.133422017,-1.135058453,-0.922148185,-1.13534997,-1.133814534,-0.923739865,-1.134968098,-1.135358701,-1.135183797,-1.1334504039659654
27,546.8875263,-1.133330226,0.740934221,-1.133630737,-1.133632585,-1.133375461,-1.133485098,-1.133598254,-1.133677882,-1.133731076,-1.133767187,-1.13327631,-1.133338663,-1.133532352,-1.132973531,-1.13378164,-1.132792586,-1.133174227,-1.132799749,-1.133891432,-1.133315582,-1.133546099,-1.13280602,-1.133654181,-1.133307017,-1.133702618,-1.1335,-1.1339,-1.1334,-1.1337,-1.1337,-1.1338,-1.1337,-1.1336,-1.1336,-1.1333,-1.1339,-1.1328,-1.1334,-1.1339,-1.134965756,-1.134952876,-1.12534562,-1.134520118,-1.135463136,-1.134189208,-1.134170064,-1.1342548,-1.135045686,-1.133822429,-1.1339405780272973
28,627.2165943,-1.13383624,0.740503533,-1.133874502,-1.134181072,-1.134027662,-1.13378891,-1.133893595,-1.134249817,-1.134151644,-1.134104363,-1.134139545,-1.13415171,-1.134391371,-1.133965343,-1.133826209,-1.134192253,-1.13437411,-1.133872165,-1.13412355,-1.134015504,-1.13393578,-1.13352668,-1.134088703,-1.134379661,-1.134191413,-1.1339,-1.1338,-1.1342,-1.1338,-1.1339,-1.1342,-1.1341,-1.1342,-1.134,-1.1342,-1.1338,-1.1338,-1.1338,-1.1344,-1.132939909,-1.124923123,-1.135259816,-1.134231135,-1.135276585,-1.135541338,-1.13584579,-1.135537961,-1.135094619,-1.135250779,-1.1343713518750544
29,719.3447231,-1.134277149,0.740198272,-1.134556093,-1.134454303,-1.134556487,-1.134611641,-1.134311939,-1.134682537,-1.134239805,-1.134459736,-1.134340376,-1.13466359,-1.134519651,-1.134248761,-1.134329565,-1.134586705,-1.1342417,-1.134461961,-1.134764154,-1.134177464,-1.134654438,-1.134579469,-1.134648456,-1.13425199,-1.134477467,-1.1346,-1.1344,-1.1343,-1.1343,-1.1342,-1.1345,-1.1343,-1.1343,-1.1343,-1.1339,-1.1346,-1.1347,-1.1344,-1.1343,-1.135145205,-1.134991194,-1.135760197,-1.135742658,-1.135498469,-1.133940205,-1.135439826,-1.134931024,-1.135833199,-1.13608758,-1.1347441521748942
30,825.0050068,-1.134662664,0.739876737,-1.134862973,-1.134755102,-1.134658982,-1.135031448,-1.134929054,-1.134930275,-1.134799351,-1.13465825,-1.134846412,-1.134936093,-1.135085749,-1.134926151,-1.134702473,-1.134643095,-1.134920274,-1.134658155,-1.134802942,-1.134667175,-1.134696179,-1.134899743,-1.135084963,-1.1350884,-1.13501891,-1.1347,-1.1348,-1.1349,-1.1348,-1.1347,-1.1348,-1.1349,-1.1347,-1.1347,-1.1346,-1.1347,-1.1348,-1.1346,-1.1347,-1.13561691,-1.127421156,-1.131911291,-1.132524479,-1.134486994,-1.129252428,-1.134790181,-1.135151605,-1.135473798,-1.115352574,-1.1350713492948126
31,1024.0,-1.135173295,0.739452543,-1.135388911,-1.135143715,-1.135331065,-1.135211616,-1.135404125,-1.135159158,-1.135455932,-1.135172205,-1.135200431,-1.135197948,-1.135395549,-1.135275747,-1.13536188,-1.135427869,-1.135349795,-1.135282362,-1.134763826,-1.134734748,-1.135163737,-1.13466012,-1.135446193,-1.134749507,-1.135276147,-1.1352,-1.1352,-1.1353,-1.1352,-1.1354,-1.1352,-1.1353,-1.1354,-1.1354,-1.1353,-1.1354,-1.1355,-1.1354,-1.1353,-1.136179035,-1.130458994,-1.135908542,-1.135157541,-1.133487425,-1.12965148,-1.136058879,-1.136022623,-1.132416411,-1.135727388,-1.1355055710548443
